Data;WIG20_M_Zamkniecie;PPIYPL_M_Zamkniecie;GDPYPL_M_Zamkniecie;EURUSD_M_Zamkniecie;USDPLN_M_Zamkniecie;PMMNPL_M_Zamkniecie;EURPLN_M_Zamkniecie;Stopa zwrotu WIG20
31.12.2018;2276.63;2.2;4.9;1.14672;3.74105;47.6;4.28995;-0.006
30.11.2018;2291.08;2.7;5.1;1.13217;3.79117;49.5;4.29225;0.063
31.10.2018;2151.88;3.2;5.1;1.13173;3.83704;49.5;4.34251;-0.06
30.09.2018;2285.11;3;5.1;1.16109;3.6865;51.4;4.28036;-0.023
31.08.2018;2337.96;3;5.1;1.16098;3.70651;51.4;4.30319;0.015
31.07.2018;2302.13;3.4;5.1;1.16878;3.65888;52.9;4.27644;0.075
30.06.2018;2135.47;2.8;5.1;1.16769;3.74564;53.3;4.37375;-0.01
31.05.2018;2157.07;2.8;5.2;1.16929;3.69246;53.3;4.31629;-0.061
30.04.2018;2291.87;1.1;5.2;1.20791;3.50917;53.9;4.23874;0.036
31.03.2018;2210.38;-0.3;5.2;1.23191;3.42045;53.7;4.21367;-0.067
28.02.2018;2364.32;-0.3;5.1;1.21935;3.42485;53.7;4.17609;-0.077
31.01.2018;2553.81;1.8;5.1;1.24125;3.3455;54.6;4.15255;0.037
31.12.2017;2461.21;1.8;5.1;1.20007;3.48035;54.2;4.17669;0.022
30.11.2017;2408.69;1.8;5.1;1.18899;3.5347;54.2;4.2026;-0.047
31.10.2017;2524.9;3;5.1;1.16498;3.63866;53.4;4.23899;0.029
30.09.2017;2453.46;3;5.1;1.182;3.64897;52.5;4.3131;-0.025
31.08.2017;2516.26;3;3.9;1.19215;3.5632;52.5;4.24787;0.058
31.07.2017;2374.17;2.2;3.9;1.1836;3.59473;52.3;4.25472;0.032
30.06.2017;2299.8;1.8;3.9;1.14206;3.7054;53.1;4.23179;0.008
31.05.2017;2281.18;2.5;4;1.12436;3.71934;52.7;4.1819;-0.041
30.04.2017;2376.87;4.8;4;1.08921;3.8792;54.1;4.22525;0.088
31.03.2017;2175.96;4.8;4;1.06679;3.96555;54.1;4.23042;-0.007
28.02.2017;2191.25;4.4;4;1.05733;4.0722;54.2;4.30565;0.063
31.01.2017;2056.83;0.3;4;1.07964;4.00257;54.8;4.32136;0.054
31.12.2016;1947.92;1.8;4;1.05248;4.18547;51.9;4.40511;0.08
30.11.2016;1798.22;1.8;2.2;1.05964;4.20465;51.9;4.4554;-0.009
31.10.2016;1814.66;0.6;2.2;1.09724;3.92543;50.2;4.30713;0.06
30.09.2016;1709.51;0.2;2.2;1.12332;3.82375;52.2;4.29529;-0.048
31.08.2016;1793.56;-0.1;3.1;1.11579;3.91011;51.5;4.36284;0.019
31.07.2016;1759.74;-0.8;3.1;1.11792;3.89642;51.8;4.35588;0.005
30.06.2016;1750.69;-0.8;3.1;1.11031;3.93833;51.8;4.37276;-0.032
31.05.2016;1808.24;-0.7;2.6;1.11297;3.94105;52.1;4.38625;-0.048
30.04.2016;1896.64;-1.9;2.6;1.14463;3.8206;53.8;4.3732;-0.052
31.03.2016;1997.69;-1.9;2.6;1.1381;3.72815;53.8;4.243;0.091
29.02.2016;1824.08;-1.5;4;1.08841;3.99756;52.8;4.35099;0.024
31.01.2016;1780.25;-0.8;4;1.08331;4.07996;52.1;4.41985;-0.043
31.12.2015;1859.15;-0.8;4;1.08605;3.92555;52.1;4.26333;-0.035
30.11.2015;1925.72;-1.8;3.6;1.05719;4.03783;52.1;4.26882;-0.067
31.10.2015;2060.03;-2.8;3.6;1.10028;3.8626;50.9;4.24994;-0.003
30.09.2015;2066.37;-2.8;3.6;1.11733;3.80065;50.9;4.24658;-0.046
31.08.2015;2163.71;-2.7;3.5;1.121;3.7738;51.1;4.2303;-0.029
31.07.2015;2227.51;-1.7;3.5;1.098;3.7728;54.5;4.1426;-0.04
30.06.2015;2317.84;-1.4;3.5;1.11435;3.76151;54.3;4.19166;-0.05
31.05.2015;2437.81;-2.7;3.4;1.098;3.7438;54;4.1106;-0.031
30.04.2015;2514.63;-2.7;3.4;1.1214;3.6039;54;4.0415;0.048
31.03.2015;2395.94;-2.5;3.4;1.07406;3.79365;54.8;4.07459;0.012
28.02.2015;2367.1;-1.2;3.2;1.1189;3.7052;52.8;4.1457;0.011
31.01.2015;2341;-1.2;3.2;1.1298;3.7028;52.8;4.1834;0.011
31.12.2014;2315.94;-1.2;3.2;1.21;3.5412;52.8;4.2849;-0.043
30.11.2014;2416.93;-1.3;3.4;1.2443;3.3602;51.2;4.181;-0.019
31.10.2014;2463.68;-1.3;3.4;1.2523;3.3746;51.2;4.226;-0.015
30.09.2014;2500.29;-1.6;3.4;1.263;3.3059;49.5;4.1752;0.034
31.08.2014;2416.97;-2.1;3.3;1.3139;3.2009;49.4;4.2055;0.041
31.07.2014;2320.85;-2.1;3.3;1.3388;3.1173;49.4;4.1734;-0.037
30.06.2014;2408.81;-1.7;3.3;1.3693;3.0328;50.3;4.1526;-0.009
31.05.2014;2429.51;-0.7;3.5;1.3631;3.0321;52;4.1329;-0.004
30.04.2014;2439.09;-0.7;3.5;1.3866;3.0276;52;4.198;-0.01
31.03.2014;2462.47;-1.3;3.5;1.3773;3.02;54;4.1597;-0.023
28.02.2014;2518.53;-1.4;2.2;1.3803;3.0102;55.9;4.1549;0.067
31.01.2014;2355.89;-0.9;2.2;1.3486;3.1495;55.4;4.2474;-0.019
